frame,nose_x,nose_y,left_eye_inner_x,left_eye_inner_y,left_eye_x,left_eye_y,left_eye_outer_x,left_eye_outer_y,right_eye_inner_x,right_eye_inner_y,right_eye_x,right_eye_y,right_eye_outer_x,right_eye_outer_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_pinky_x,left_pinky_y,right_pinky_x,right_pinky_y,left_index_x,left_index_y,right_index_x,right_index_y,left_thumb_x,left_thumb_y,right_thumb_x,right_thumb_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_heel_x,left_heel_y,right_heel_x,right_heel_y,left_foot_index_x,left_foot_index_y,right_foot_index_x,right_foot_index_y
1,0.40766581892967224,0.44286662340164185,0.39460620284080505,0.4275968372821808,0.39536407589912415,0.4277598559856415,0.3958422839641571,0.4284142851829529,0.3891831040382385,0.4324331283569336,0.38628044724464417,0.4356985092163086,0.3831424415111542,0.4394005835056305,0.3858770728111267,0.4549926519393921,0.37117868661880493,0.46961721777915955,0.4174000322818756,0.46497631072998047,0.41090190410614014,0.4706268906593323,0.45211610198020935,0.5195926427841187,0.39508360624313354,0.5931286811828613,0.47387611865997314,0.38981983065605164,0.3445402979850769,0.40180450677871704,0.4892667829990387,0.22168047726154327,0.2969486117362976,0.1918211281299591,0.48582547903060913,0.18649661540985107,0.29471614956855774,0.14551539719104767,0.4812794327735901,0.1809038519859314,0.28997185826301575,0.1421346664428711,0.4815887212753296,0.18611110746860504,0.29130810499191284,0.15906839072704315,0.6443967819213867,0.7446271181106567,0.6176861524581909,0.8300017714500427,0.7923987507820129,0.6662907600402832,0.7762437462806702,0.794347882270813,0.76811283826828,0.8889555931091309,0.7433031797409058,1.020983099937439,0.7462447881698608,0.9073614478111267,0.7066841125488281,1.034555435180664,0.8031191229820251,0.9642828106880188,0.7928245663642883,1.1328023672103882
2,0.3982354998588562,0.44068771600723267,0.38605445623397827,0.42672547698020935,0.3870396018028259,0.4270704686641693,0.3878500759601593,0.42786839604377747,0.380076140165329,0.4317496716976166,0.3769720494747162,0.43531328439712524,0.37363994121551514,0.43926286697387695,0.37947872281074524,0.4560835063457489,0.36142265796661377,0.4712788462638855,0.4087470769882202,0.46373021602630615,0.40146443247795105,0.46950188279151917,0.4494648277759552,0.5200151801109314,0.3921111524105072,0.5931589007377625,0.47708064317703247,0.39463165402412415,0.34331777691841125,0.4025009274482727,0.4893673360347748,0.2195124626159668,0.2953280806541443,0.19173382222652435,0.4859779179096222,0.18605047464370728,0.2904283106327057,0.145711287856102,0.4827771484851837,0.18023286759853363,0.2853212058544159,0.14366723597049713,0.4824199378490448,0.1866137534379959,0.28769540786743164,0.159793883562088,0.6433048844337463,0.7471464276313782,0.6188916563987732,0.8282538652420044,0.79777592420578,0.6652089357376099,0.7762429714202881,0.7551811337471008,0.7797611355781555,0.8909335732460022,0.7606648206710815,0.9995711445808411,0.7593898177146912,0.9189790487289429,0.7278412580490112,1.0189977884292603,0.8254391551017761,0.9646238088607788,0.8002973794937134,1.0406855344772339
3,0.39822351932525635,0.4408762753009796,0.38520878553390503,0.4281053841114044,0.3858950436115265,0.4286024272441864,0.38638898730278015,0.42959076166152954,0.3794410526752472,0.4338681399822235,0.3761782944202423,0.4383116066455841,0.37264272570610046,0.4434615969657898,0.3771452307701111,0.46176260709762573,0.3599304258823395,0.4816913604736328,0.40852218866348267,0.4637773036956787,0.40144214034080505,0.46989354491233826,0.44435960054397583,0.5218924283981323,0.3918083608150482,0.594298779964447,0.4780149757862091,0.40679171681404114,0.3431519567966461,0.40506041049957275,0.4922195374965668,0.22138461470603943,0.2932705581188202,0.1911281794309616,0.49648916721343994,0.18563878536224365,0.2895025312900543,0.14499688148498535,0.49385616183280945,0.17979925870895386,0.2842573821544647,0.1432325541973114,0.4931723475456238,0.18902486562728882,0.28617221117019653,0.15888798236846924,0.6417919397354126,0.7602717280387878,0.6250884532928467,0.8259899616241455,0.7975192666053772,0.6696953177452087,0.783070981502533,0.7290468811988831,0.7739771604537964,0.9132987260818481,0.76179438829422,0.988791823387146,0.7547746300697327,0.9442304372787476,0.7328005433082581,1.022864818572998,0.8115442991256714,0.9895579218864441,0.8055219650268555,1.0556681156158447
4,0.39829620718955994,0.4412471055984497,0.38524797558784485,0.42843949794769287,0.3859907388687134,0.4287920296192169,0.3865361511707306,0.4296588897705078,0.3792295753955841,0.434625506401062,0.37584036588668823,0.4392335116863251,0.3722079396247864,0.44452211260795593,0.37727493047714233,0.4617319107055664,0.35925137996673584,0.483699768781662,0.4085797071456909,0.46381741762161255,0.4012143015861511,0.47025227546691895,0.443697452545166,0.5218857526779175,0.3903212547302246,0.5957048535346985,0.48138245940208435,0.4056573510169983,0.343136191368103,0.4112459719181061,0.49684402346611023,0.21540895104408264,0.29333609342575073,0.19214288890361786,0.503054141998291,0.17371122539043427,0.28964951634407043,0.14637495577335358,0.5029054284095764,0.16994287073612213,0.2844407856464386,0.14534486830234528,0.49797070026397705,0.18553023040294647,0.28631535172462463,0.16045229136943817,0.642422616481781,0.759268045425415,0.6262359619140625,0.8258161544799805,0.7980911135673523,0.6969882249832153,0.7804273962974548,0.7368398904800415,0.7736809849739075,0.9227455854415894,0.7609459757804871,0.9828413128852844,0.7541763186454773,0.9567431211471558,0.7326658368110657,1.013805866241455,0.814659833908081,1.0105255842208862,0.8175596594810486,1.0666794776916504
5,0.3958638310432434,0.44062918424606323,0.3822583854198456,0.4285455048084259,0.38279810547828674,0.4289460778236389,0.38315635919570923,0.4298458695411682,0.3767990171909332,0.43478912115097046,0.3736533522605896,0.4394962191581726,0.3702545762062073,0.4449244439601898,0.37433767318725586,0.46232807636260986,0.3576281666755676,0.4848427176475525,0.40641605854034424,0.46340665221214294,0.3992146849632263,0.4700188636779785,0.44400835037231445,0.5206725597381592,0.39038050174713135,0.5962938070297241,0.4893261790275574,0.4045538306236267,0.34317490458488464,0.41741564869880676,0.5000845193862915,0.21547915041446686,0.2950352132320404,0.1924457848072052,0.5023343563079834,0.17505663633346558,0.29122933745384216,0.14637289941310883,0.5007680058479309,0.17348822951316833,0.28656524419784546,0.14567317068576813,0.49944478273391724,0.18861480057239532,0.28887447714805603,0.16084009408950806,0.6436560750007629,0.758569061756134,0.626837968826294,0.8259595632553101,0.798239529132843,0.694152295589447,0.7769113183021545,0.7365176677703857,0.7896486520767212,0.9212480187416077,0.7633065581321716,0.9805524945259094,0.772528886795044,0.9559594988822937,0.7386949062347412,1.0292434692382812,0.8387828469276428,1.0039259195327759,0.8190330862998962,1.0371023416519165
6,0.39622440934181213,0.4447438418865204,0.3827168047428131,0.4317273497581482,0.3833484947681427,0.43179526925086975,0.38377973437309265,0.43220189213752747,0.3771032691001892,0.43793514370918274,0.3739781379699707,0.44245627522468567,0.3706246018409729,0.4476586878299713,0.3747943639755249,0.46291103959083557,0.3582560122013092,0.4858594536781311,0.4067344069480896,0.46658363938331604,0.3994296193122864,0.473532110452652,0.44622987508773804,0.5203990340232849,0.39042332768440247,0.5975887179374695,0.49360376596450806,0.40345627069473267,0.34485509991645813,0.4239511787891388,0.5065392851829529,0.21497876942157745,0.2999565899372101,0.19378633797168732,0.5074046850204468,0.17553697526454926,0.2947250306606293,0.14841219782829285,0.5025969743728638,0.17484940588474274,0.290901780128479,0.14863404631614685,0.5028256773948669,0.18898217380046844,0.29368358850479126,0.1630280315876007,0.6454696655273438,0.7568530440330505,0.6273909211158752,0.8259921669960022,0.8004798889160156,0.6936528086662292,0.7716086506843567,0.7418538928031921,0.7957748174667358,0.9190088510513306,0.770024299621582,0.9840232729911804,0.7779485583305359,0.9546909928321838,0.7436754107475281,1.042176365852356,0.8460226655006409,0.9997926950454712,0.8340736627578735,1.0495765209197998
7,0.3958210051059723,0.44444260001182556,0.38258352875709534,0.4316940903663635,0.38324445486068726,0.4317617416381836,0.3837117552757263,0.43214330077171326,0.376985639333725,0.43773120641708374,0.37387654185295105,0.4421308934688568,0.3705483675003052,0.44714900851249695,0.37488853931427,0.46279269456863403,0.358368456363678,0.4848441183567047,0.4062615633010864,0.4664745330810547,0.39885425567626953,0.4731478691101074,0.44721806049346924,0.5203791260719299,0.39047807455062866,0.5976947546005249,0.497619092464447,0.4028967320919037,0.345216304063797,0.4266795217990875,0.5160230398178101,0.21049775183200836,0.30485424399375916,0.19622987508773804,0.5162115693092346,0.17458944022655487,0.30012381076812744,0.15143854916095734,0.5112485289573669,0.1748940646648407,0.29721689224243164,0.1522669643163681,0.5120036005973816,0.18851809203624725,0.30056411027908325,0.16668687760829926,0.6485748887062073,0.7567116618156433,0.6290372014045715,0.8265986442565918,0.8009209036827087,0.6953427791595459,0.7706538438796997,0.7444953918457031,0.7927396893501282,0.9302109479904175,0.7689737677574158,0.9849131107330322,0.7757542729377747,0.968817949295044,0.741890549659729,1.0460395812988281,0.8394389748573303,1.0166155099868774,0.8322222828865051,1.058705449104309
8,0.39762189984321594,0.44550275802612305,0.3861052095890045,0.43184512853622437,0.38736626505851746,0.4318768382072449,0.3884376287460327,0.43222302198410034,0.3791090250015259,0.4377807676792145,0.37568891048431396,0.44209039211273193,0.3721731901168823,0.44705161452293396,0.3791397511959076,0.4623301029205322,0.36062076687812805,0.48341670632362366,0.40751907229423523,0.4686003029346466,0.39906391501426697,0.4753798246383667,0.4496294856071472,0.5202754735946655,0.3906061351299286,0.5989287495613098,0.5017340183258057,0.4027651846408844,0.3452250361442566,0.4292490482330322,0.519990086555481,0.2102929949760437,0.3067011535167694,0.20085497200489044,0.5204061269760132,0.17448176443576813,0.3033326268196106,0.15514883399009705,0.5155666470527649,0.17357107996940613,0.3021867871284485,0.15468062460422516,0.5153043270111084,0.1876576542854309,0.3050791919231415,0.1696324348449707,0.6490682363510132,0.7563679814338684,0.6291097402572632,0.827398419380188,0.8021859526634216,0.708212673664093,0.769248902797699,0.7400339245796204,0.7906764149665833,0.945343017578125,0.7680078744888306,0.9868677258491516,0.7749798893928528,0.9851564764976501,0.7401126027107239,1.0485795736312866,0.8359361886978149,1.0374873876571655,0.8250885009765625,1.0368493795394897
9,0.3975534737110138,0.44291576743125916,0.3856736123561859,0.43112364411354065,0.3867550194263458,0.4313044548034668,0.3875662386417389,0.4317842423915863,0.37899303436279297,0.4369547665119171,0.37562495470046997,0.4413568377494812,0.3721262216567993,0.44641077518463135,0.3778029978275299,0.4623086154460907,0.3602873682975769,0.4832785725593567,0.4076632559299469,0.4673667550086975,0.39931824803352356,0.4742518663406372,0.4506206214427948,0.5206751227378845,0.3906375765800476,0.6000401377677917,0.5038346648216248,0.4059324562549591,0.3421380817890167,0.43921560049057007,0.5243244171142578,0.21048596501350403,0.3076770603656769,0.20927318930625916,0.5223113298416138,0.1746964007616043,0.3088151514530182,0.16135521233081818,0.5176560282707214,0.1734941452741623,0.30746957659721375,0.16031937301158905,0.518139660358429,0.18765270709991455,0.3087647259235382,0.17604587972164154,0.6514550447463989,0.7571681141853333,0.6306536793708801,0.8280786871910095,0.8046131730079651,0.7051186561584473,0.7686784267425537,0.7417112588882446,0.77967369556427,0.9399923086166382,0.7633990049362183,0.9870861768722534,0.7562990188598633,0.9767730832099915,0.7347598671913147,1.0487842559814453,0.8205932974815369,1.0288416147232056,0.8232561349868774,1.0490599870681763
10,0.39759525656700134,0.44184410572052,0.3857022523880005,0.43086960911750793,0.3867679536342621,0.43101224303245544,0.3875533640384674,0.4313967525959015,0.3790430724620819,0.436770498752594,0.37566766142845154,0.44120633602142334,0.3721509873867035,0.4462714195251465,0.3777811825275421,0.4620988070964813,0.36033549904823303,0.48307812213897705,0.4077669084072113,0.466143935918808,0.3994988203048706,0.4735703468322754,0.45048797130584717,0.522480845451355,0.3906617760658264,0.6013273596763611,0.5020809173583984,0.4281793236732483,0.3418322205543518,0.44683587551116943,0.526766836643219,0.23045296967029572,0.31408336758613586,0.22605660557746887,0.5319788455963135,0.18385237455368042,0.31380346417427063,0.17491626739501953,0.5266843438148499,0.17629440128803253,0.31195008754730225,0.17193976044654846,0.5247964859008789,0.20124799013137817,0.31401559710502625,0.18747997283935547,0.6505820751190186,0.7572793960571289,0.6303070187568665,0.8280786871910095,0.8044335842132568,0.7032124400138855,0.7688122987747192,0.7421940565109253,0.7794307470321655,0.9373785257339478,0.7632118463516235,0.9888626933097839,0.7559733986854553,0.9721087217330933,0.7342613935470581,1.048301100730896,0.8210262060165405,1.0260523557662964,0.8271661400794983,1.0537917613983154
