frame,speed_px_s,speed_kmh,speed_mph
1,0.0,0.0,0.0
2,134.030048601386,482.5081749649896,299.8165871861706
3,0.0,0.0,0.0
4,670.15024300693,2412.5408748249483,1499.082935930853
5,0.0,0.0,0.0
6,216.11695956827108,778.0210544457759,483.43972062202624
7,0.0,0.0,0.0
8,59.94005994005994,215.78421578421577,134.08205394605395
9,0.0,0.0,0.0
10,268.060097202772,965.0163499299792,599.6331743723412
11,0.0,0.0,0.0
12,119.88011988011988,431.56843156843155,268.1641078921079
13,0.0,0.0,0.0
