frame,speed_px_s,speed_kmh,speed_mph,center_x,center_y
145,0.0,0.0,0.0,251.0,1007.0
146,0.0,0.0,0.0,251.0,1007.0
147,0.0,0.0,0.0,251.0,1007.0
148,0.0,0.0,0.0,251.0,1007.0
149,0.0,0.0,0.0,251.0,1007.0
150,0.0,0.0,0.0,251.0,1007.0
151,0.0,0.0,0.0,251.0,1007.0
152,0.0,0.0,0.0,251.0,1007.0
153,0.0,0.0,0.0,251.0,1007.0
154,0.0,0.0,0.0,251.0,1007.0
155,0.0,0.0,0.0,251.0,1007.0
156,0.0,0.0,0.0,251.0,1007.0
157,0.0,0.0,0.0,251.0,1007.0
158,0.0,0.0,0.0,251.0,1007.0
159,0.0,0.0,0.0,251.0,1007.0
160,0.0,0.0,0.0,251.0,1007.0
161,0.0,0.0,0.0,251.0,1007.0
162,0.0,0.0,0.0,251.0,1007.0
163,0.0,0.0,0.0,251.0,1007.0
164,0.0,0.0,0.0,251.0,1007.0
165,0.0,0.0,0.0,251.0,1007.0
166,0.0,0.0,0.0,251.0,1007.0
167,0.0,0.0,0.0,251.0,1007.0
168,0.0,0.0,0.0,251.0,1007.0
169,0.0,0.0,0.0,251.0,1007.0
170,0.0,0.0,0.0,251.0,1007.0
171,0.0,0.0,0.0,251.0,1007.0
172,0.0,0.0,0.0,251.0,1007.0
173,0.0,0.0,0.0,251.0,1007.0
174,0.0,0.0,0.0,251.0,1007.0
175,0.0,0.0,0.0,251.0,1007.0
176,0.0,0.0,0.0,251.0,1007.0
177,0.0,0.0,0.0,251.0,1007.0
178,0.0,0.0,0.0,251.0,1007.0
179,0.0,0.0,0.0,251.0,1007.0
180,0.0,0.0,0.0,251.0,1007.0
181,0.0,0.0,0.0,251.0,1007.0
182,0.0,0.0,0.0,251.0,1007.0
183,0.0,0.0,0.0,251.0,1007.0
184,0.0,0.0,0.0,251.0,1007.0
185,0.0,0.0,0.0,251.0,1007.0
186,0.0,0.0,0.0,251.0,1007.0
187,0.0,0.0,0.0,251.0,1007.0
188,0.0,0.0,0.0,251.0,1007.0
189,0.0,0.0,0.0,251.0,1007.0
190,0.0,0.0,0.0,251.0,1007.0
191,0.0,0.0,0.0,251.0,1007.0
192,0.0,0.0,0.0,251.0,1007.0
193,0.0,0.0,0.0,251.0,1007.0
194,0.0,0.0,0.0,251.0,1007.0
195,0.0,0.0,0.0,251.0,1007.0
196,0.0,0.0,0.0,251.0,1007.0
197,0.0,0.0,0.0,251.0,1007.0
198,0.0,0.0,0.0,251.0,1007.0
199,0.0,0.0,0.0,251.0,1007.0
200,0.0,0.0,0.0,251.0,1007.0
201,0.0,0.0,0.0,251.0,1007.0
202,0.0,0.0,0.0,251.0,1007.0
203,0.0,0.0,0.0,251.0,1007.0
204,0.0,0.0,0.0,251.0,1007.0
205,0.0,0.0,0.0,251.0,1007.0
206,0.0,0.0,0.0,251.0,1007.0
207,0.0,0.0,0.0,251.0,1007.0
208,0.0,0.0,0.0,251.0,1007.0
209,0.0,0.0,0.0,251.0,1007.0
